company_name,registered,company_age,valid_address,domain_age,listed_in_gov_db,has_audited_reports,is_fraud
Greer PLC,1,43,1,1,0,1,0
Young-Ross,1,12,1,13,1,1,0
"Jones, Golden and Williams",0,26,0,19,1,1,0
"Reed, Stevens and Crosby",0,41,1,8,1,0,1
Fernandez LLC,1,1,1,17,1,1,1
"Jones, Wright and Barnett",0,47,0,12,0,0,1
Garcia-Graves,1,19,1,0,0,1,0
Flores-Chang,1,23,0,17,1,1,1
Robinson and Sons,0,36,1,4,1,1,0
"Roberts, Mckinney and Calhoun",0,46,0,18,1,1,0
Harper Inc,1,25,1,9,1,1,0
Brown-Wagner,0,23,0,4,1,1,1
Coleman Inc,1,50,1,6,1,1,0
Torres-Wolfe,1,20,0,9,0,1,0
Mckee-Monroe,1,33,0,13,1,1,0
"Gordon, Snyder and Castillo",0,27,1,20,0,0,1
Odom-Douglas,0,43,0,19,0,1,1
Fox-Morris,0,31,0,19,1,1,0
"Mckinney, Boyd and Pope",0,38,1,11,0,1,1
Miller-Marquez,1,38,1,19,1,1,0
Gonzalez-Flores,0,38,0,16,1,0,1
Mendoza-York,1,36,1,14,1,1,0
Bernard-Travis,0,31,0,16,1,1,1
Welch PLC,0,18,1,11,1,0,0
"Garcia, Hanna and Mcpherson",0,47,1,8,1,1,1
Rogers-Chan,1,50,1,9,1,0,0
"Vargas, Stewart and Gray",1,2,0,2,0,0,1
Espinoza and Sons,1,18,0,0,1,1,0
"Tucker, Flores and Dominguez",1,36,1,10,1,0,0
Robinson LLC,1,2,0,10,1,0,1
Ortiz-Conner,1,31,0,10,1,0,1
Taylor-Durham,1,37,1,17,0,0,1
Valencia-Edwards,0,16,1,12,1,1,1
"Cole, Lee and Davis",0,41,0,5,1,1,0
"Garcia, Hale and Fleming",0,25,0,16,1,1,0
"Cole, Lee and Davis",0,41,0,5,1,1,0
"Stephens, Miller and Stewart",0,22,0,10,0,0,1
Becker PLC,1,34,1,2,1,1,0
Chavez-Gutierrez,0,16,0,12,1,1,1
Sandoval-Mccall,0,34,1,9,1,0,1
Wilson PLC,0,6,1,8,0,1,1
Hughes-Zhang,1,3,0,14,0,0,1
Olson PLC,0,8,1,10,0,0,1
Dean PLC,1,3,1,20,1,0,0
Brady Group,1,4,0,9,1,0,0
Washington-Kelly,0,24,1,15,0,0,1
Jones PLC,1,14,1,5,1,0,0
"Estrada, Miller and Rodriguez",1,19,1,0,1,0,1
"Nixon, Tate and Higgins",0,35,0,18,0,0,1
Escobar LLC,1,33,1,7,1,0,1
Parrish Group,1,46,1,3,1,1,0
"Gray, Bailey and Nixon",0,21,1,0,0,0,1
Randolph Inc,1,38,0,12,1,1,1
Moore Inc,1,20,0,3,0,1,1
Graham-Padilla,1,1,1,0,0,1,0
"Ward, Hendricks and Santiago",1,35,1,3,1,0,0
"Murphy, Mitchell and Thomas",0,1,1,4,1,0,1
Mayo-Ward,0,17,1,13,1,0,1
Merritt and Sons,1,44,0,20,1,1,0
"Hughes, Jones and Wilson",1,35,1,12,1,1,0
Paul-Patterson,1,12,1,10,1,0,0
Clark PLC,1,19,1,15,0,1,0
Wilson Group,1,26,1,2,0,1,0
Peterson-Robertson,0,33,0,20,1,1,1
Lloyd-Gamble,0,27,1,9,0,1,1
Yates-Orr,1,27,0,14,0,0,1
Cruz-Smith,0,12,1,0,1,1,1
Hale-Lowery,0,1,1,2,0,0,1
"Bryan, Price and Gutierrez",1,4,0,5,0,1,0
Bell-Harris,1,10,0,4,0,0,1
Hebert-Rodriguez,1,37,0,0,0,0,1
"Green, Glover and Bright",1,2,0,7,1,0,0
"Hughes, George and Fields",0,18,1,18,0,1,1
"Gray, Brown and Luna",1,33,0,4,0,1,1
Harper Inc,1,25,1,9,1,1,0
Rogers-Chan,1,50,1,9,1,0,0
Carson-Hansen,0,17,1,19,0,0,1
Brown and Sons,1,24,0,5,1,0,0
"Johnson, Schwartz and Ryan",0,25,1,6,1,0,0
Moore Ltd,1,27,0,14,0,1,1
James and Sons,1,41,1,19,1,1,0
Tyler-Schaefer,0,12,0,1,0,1,1
Wagner Ltd,1,33,0,20,0,0,1
Terry LLC,0,31,1,0,0,0,1
Chapman-Campos,0,16,0,6,1,0,1
"Terrell, Jackson and Mills",0,13,0,6,1,0,1
Harris Inc,1,39,1,10,0,1,0
Olson-Scott,1,50,1,4,1,1,0
"Miller, Dawson and Nichols",1,15,0,18,1,0,0
Lopez LLC,1,26,1,13,1,0,0
Jackson LLC,1,36,1,15,1,1,0
Hart Ltd,0,24,1,8,1,1,0
"Preston, Edwards and Vazquez",0,50,1,2,0,1,1
"Lambert, King and Montgomery",1,29,1,12,1,1,0
Johnson-Gonzalez,1,40,1,8,0,1,1
"Ho, Harrison and Herrera",1,47,1,5,1,1,0
"Shepherd, Mitchell and Saunders",0,23,1,17,1,0,1
"Villarreal, West and Soto",1,7,1,4,1,1,1
Smith-Miller,1,22,0,19,1,1,0
Jackson and Sons,0,23,1,8,0,0,1
Richards Ltd,1,29,0,17,1,0,0
Zavala-Smith,0,44,1,13,1,1,0
Hernandez-Bentley,1,40,0,3,0,0,0
"Hardy, Bell and Walker",0,0,1,19,1,1,0
"Summers, Barber and Porter",1,45,1,5,1,1,0
"Smith, Delacruz and Thompson",0,49,1,15,0,1,0
"Moreno, Lewis and Phillips",0,41,1,15,0,1,1
"Carpenter, Davis and Lewis",1,19,0,0,1,0,1
"Carroll, Robinson and Robinson",1,19,0,18,1,1,0
Allen LLC,1,2,0,3,1,0,0
Curry-Haas,0,33,0,14,0,1,1
Collins LLC,1,24,1,10,0,1,0
"Sanchez, Hart and Dillon",0,36,0,19,1,0,1
"Alexander, Briggs and Jones",0,4,1,17,1,0,0
Adams-Griffin,0,30,1,1,1,1,1
Scott-Mcclain,0,34,0,16,1,1,0
Roberson PLC,0,1,1,11,0,1,1
Doyle-Brown,0,8,0,16,1,0,1
Lynn PLC,0,43,1,0,1,0,1
"Romero, Maynard and Wheeler",1,38,1,11,1,1,0
"Elliott, Ramirez and Rogers",1,38,1,12,1,1,0
Perez-Cook,0,9,0,4,0,0,1
Bell Inc,0,27,0,5,0,0,1
Walker Ltd,1,31,1,6,1,1,0
Adams-Gardner,1,7,0,4,1,1,1
Thomas Group,1,18,1,1,1,1,0
"Flores, Olsen and Miles",0,0,0,15,0,1,1
"Poole, Wright and Davidson",1,7,0,8,0,1,1
Spencer LLC,0,42,1,9,0,0,1
"Nunez, Cabrera and Rose",1,17,1,3,1,1,0
"Kim, Watkins and Thomas",1,45,0,15,1,0,0
Mckenzie and Sons,0,36,1,16,1,1,0
Johnson Group,0,17,1,9,1,0,0
Bryan PLC,1,9,0,7,1,1,0
Hamilton and Sons,1,1,1,11,1,0,1
Webb-Hughes,0,1,0,10,1,0,1
"Riley, Weaver and Evans",0,25,0,18,0,0,1
"Collins, Jones and Howell",1,29,1,15,1,0,1
"Johnson, Carlson and Gomez",0,47,1,1,1,0,1
Wilson-Walker,0,6,1,7,1,1,0
Jones-West,1,25,1,6,0,1,1
Wolf LLC,1,22,0,1,0,1,0
Moore-Mckinney,0,41,0,1,1,1,0
"Thompson, Whitney and Murillo",1,28,1,2,0,0,1
Blackwell Inc,0,0,0,1,0,0,1
"Vincent, Davis and Martin",0,3,0,19,1,0,1
"Velazquez, Murphy and Wilson",1,22,1,18,1,1,1
"Chan, Baker and Parker",1,20,0,20,0,1,1
Thomas-Walters,0,9,0,8,1,1,0
Ray-Dickerson,1,45,1,20,0,0,1
Robinson-Gonzalez,1,16,0,17,1,0,0
Glass-Frye,1,5,1,5,0,1,0
"Dean, Smith and Klein",1,18,1,12,1,1,0
Stephenson PLC,0,7,1,7,0,0,1
"Wolf, Parker and Perry",1,43,0,17,1,0,1
Miller Inc,0,42,0,1,1,1,0
Campos-Stone,0,9,0,14,0,1,1
Davis Group,1,27,1,15,1,1,0
Wilson Ltd,0,3,1,9,0,1,1
Suarez-Obrien,1,44,1,15,0,1,0
Calderon-Ford,1,16,1,18,0,1,0
Pitts Group,1,25,1,4,0,1,1
Martinez-Anderson,1,46,0,8,1,1,0
"Mason, Washington and Marshall",1,15,0,10,1,0,1
Kennedy-Johnson,1,15,1,20,1,0,0
Michael and Sons,1,20,0,8,0,1,0
Mcgee-Hall,0,41,1,11,1,0,1
Manning-Campbell,1,35,0,4,1,0,1
Jones Ltd,0,18,1,13,0,1,1
Pearson-Rosales,1,26,1,5,1,1,0
Johnson-Underwood,1,48,0,6,1,0,0
Soto Ltd,1,21,1,15,1,1,1
Thompson Ltd,1,7,1,16,1,1,0
Miranda-Levy,1,43,1,10,1,0,1
Dunn LLC,0,1,1,8,1,1,0
Bridges Group,0,34,1,5,1,0,1
Riley-Armstrong,1,39,1,20,1,0,0
Fields-Johnson,1,1,1,20,0,0,0
Dominguez PLC,0,1,0,17,1,1,1
"Bowman, Fletcher and Hodge",0,42,1,3,1,1,1
"Henderson, Mclean and Woods",0,20,1,10,0,1,0
"Clements, Cordova and Hudson",0,50,1,3,1,1,0
Gould Inc,1,33,0,19,1,1,1
Jones and Sons,0,41,1,5,1,0,1
Johnson Ltd,1,10,0,8,1,1,1
"Smith, Hughes and Moore",0,8,0,19,0,1,1
Choi-Acevedo,0,46,1,6,0,0,1
Harris and Sons,0,36,1,11,0,1,1
Lopez PLC,1,46,0,9,1,1,1
White Inc,0,34,0,15,0,0,1
Brown-Garcia,1,36,0,3,1,1,1
"Cooper, Carroll and Barber",0,28,0,5,1,0,1
"Flynn, Hernandez and Collins",1,26,1,1,0,1,0
"Hines, Thomas and Rodriguez",1,22,1,1,1,1,0
Tapia and Sons,1,45,1,1,0,1,0
"Keller, Sullivan and Black",1,26,0,5,1,1,0
Morrow-Turner,0,25,0,11,1,0,1
Davis-Miller,1,26,1,3,1,0,0
"Barr, Oneal and Bass",1,29,1,8,0,1,0
"Smith, Hayes and Ware",0,5,0,13,1,0,0
"Perez, Porter and Gonzalez",0,40,1,1,1,1,1
Adams-Jones,0,9,0,8,0,0,1
"Dillon, Torres and Meyer",1,41,1,19,1,0,0
Cook Inc,1,4,0,13,1,0,1
Aguilar and Sons,0,50,1,20,1,0,1
Patel-Clark,1,15,0,14,1,1,0
"Gonzalez, Henderson and Jones",1,36,1,18,1,1,0
"Schwartz, Wang and Craig",0,22,1,2,1,1,1
Coleman Group,1,11,1,3,1,1,1
Haynes Ltd,0,26,1,20,1,0,0
Pena-Parks,1,10,0,3,1,1,0
Wood-Walsh,1,27,1,9,1,1,0
Ewing-Porter,0,1,0,11,1,1,1
Wise-Waters,0,33,1,18,1,0,1
Nguyen-Moss,0,39,0,2,0,1,1
Oconnell-Boyd,1,5,0,5,0,0,0
Mccormick-Johnson,0,0,1,1,1,0,1
"Landry, Morris and Peters",1,1,0,3,0,1,1
Nash Group,1,6,0,3,0,1,0
Fitzgerald-Anderson,1,33,0,12,1,0,0
Dominguez-Jones,1,50,1,9,1,0,0
"Brewer, Parrish and Green",1,19,0,2,0,0,1
"Johnson, Kim and Lyons",1,1,1,10,1,0,1
"Ramirez, Reed and Hunt",1,20,0,18,1,1,0
Evans Ltd,0,15,0,18,0,0,1
Miller LLC,1,16,0,9,0,1,1
Roberson-Johnson,1,32,1,18,0,0,1
Espinoza Ltd,1,31,1,12,1,1,1
Reed-Franklin,1,30,1,16,0,1,1
Brady PLC,1,46,0,20,0,1,1
Hernandez-Bentley,1,40,0,3,0,0,0
"Hernandez, Sanchez and Frazier",1,41,1,4,1,0,0
Price-Young,0,39,0,14,0,1,1
Martin-Morgan,1,8,0,17,1,0,1
House and Sons,0,7,0,10,1,1,0
Taylor-Cole,1,42,1,11,1,1,0
"Wood, Anderson and Morrison",0,26,1,20,0,1,1
Walker Ltd,1,28,1,7,1,1,1
Huber Inc,0,47,1,8,1,0,1
Mendoza-York,1,36,1,14,1,1,0
"Owen, Wallace and Walker",1,39,0,4,1,0,1
Roberts-Burns,0,0,0,11,1,0,1
"Murphy, Wilson and Roberts",1,16,0,10,1,0,1
Coleman LLC,1,22,1,10,1,1,0
"Hanson, Martinez and Glover",1,12,1,7,1,0,0
"Silva, Wright and Mendoza",1,28,0,11,1,1,1
"Martinez, Parrish and Warner",0,16,0,2,1,0,1
"Miller, Medina and Moore",1,29,1,5,0,0,1
"Garcia, Davis and Kramer",1,36,1,0,1,1,0
"Curtis, Freeman and Franco",1,33,0,17,1,1,0
Harrison Inc,0,49,1,19,0,1,0
"Greene, Thompson and Rogers",0,16,0,7,0,1,1
Moreno LLC,1,38,0,9,1,1,1
Brown PLC,0,33,1,7,1,1,0
Keith-Mcneil,1,22,1,18,0,1,0
Cruz Group,1,41,0,14,0,0,1
"Scott, Gilmore and Barrett",0,10,0,14,0,0,1
Robinson-Simmons,0,42,1,8,1,1,0
Johnson PLC,0,7,1,7,1,0,0
Hester Inc,1,50,0,0,1,1,1
Williams-Underwood,1,6,1,14,1,1,0
Anderson-Livingston,1,22,1,11,1,1,0
"Wilson, Davis and Brennan",0,39,1,7,1,1,0
Hart Ltd,0,24,1,8,1,1,0
Kim Ltd,1,10,1,2,0,1,1
Williams-Morgan,1,14,0,7,0,0,0
"Velazquez, Allen and Price",0,45,0,4,1,0,1
"Hubbard, Rocha and Young",1,23,0,19,1,1,0
White LLC,0,50,0,18,1,1,1
"Hines, Thomas and Rodriguez",1,22,1,1,1,1,0
"Kelly, Rivera and Rogers",1,8,1,18,0,1,0
"Thomas, Saunders and Carrillo",1,7,1,13,1,0,1
"Kim, Garrett and Cook",1,36,1,3,0,0,1
Soto and Sons,0,50,1,12,1,1,1
Fry Ltd,1,47,1,12,1,1,1
"Barnett, Smith and Young",1,48,1,20,0,0,1
"Jones, Morales and Bell",1,34,1,17,1,0,0
Reeves-Alexander,1,39,1,1,1,0,1
Decker-Best,1,15,0,17,1,0,1
Cortez-Berry,1,15,1,14,1,1,1
Mills-Medina,1,18,0,18,0,0,1
Sweeney PLC,1,10,1,17,1,0,0
"Winters, Barajas and Evans",1,46,1,2,1,1,0
"Hayes, Morton and Gaines",0,15,1,12,0,1,1
Cole-Schwartz,1,46,0,1,1,1,1
Brown and Sons,0,34,0,19,1,0,1
"Diaz, Dillon and Jacobs",1,46,1,16,0,1,1
"Hutchinson, Whitaker and Owens",1,17,0,18,1,1,1
Silva PLC,1,13,0,17,0,1,1
"Trujillo, Perry and Lyons",0,23,1,3,0,0,0
Carroll and Sons,0,36,1,10,1,1,0
Levy PLC,1,39,0,10,1,1,0
House-Brown,0,48,1,5,0,1,1
Cole Inc,1,40,1,18,1,1,0
Parker-Gonzalez,1,29,1,8,0,1,0
"Townsend, Lawson and Hughes",1,23,1,4,0,1,1
Pierce-Salazar,1,19,1,2,1,1,0
"Nixon, Hensley and Atkinson",0,41,1,16,1,0,1
"Sanchez, Smith and Smith",0,9,0,10,1,0,1
Fitzgerald-Anderson,1,33,0,12,1,0,0
Davis Group,1,27,1,15,1,1,0
Sloan Group,1,12,1,18,0,1,0
Butler-Johnson,0,9,1,12,1,1,0
Powell-Adams,1,13,0,17,0,1,1
Mack Group,0,38,1,15,1,0,1
Clarke Group,0,5,0,16,0,0,1
Bush and Sons,1,45,0,14,0,1,0
Martinez PLC,1,27,0,19,1,1,1
Paul-Patterson,1,12,1,10,1,0,0
Lane-Michael,1,48,0,9,1,1,1
Perkins Ltd,1,27,1,15,1,1,0
Meyers Group,0,25,0,16,1,1,1
"Wilson, Davis and Brennan",0,39,1,7,1,1,0
Garcia-Graves,1,19,1,0,0,1,0
"Guerrero, Myers and Crawford",1,7,1,13,0,1,1
Rice-Freeman,1,11,1,14,0,0,1
Lloyd Ltd,0,28,0,3,0,0,1
Thompson Ltd,0,20,1,2,1,0,0
Thomas-Phillips,1,1,1,15,1,0,0
"Hanson, Martinez and Glover",1,12,1,7,1,0,0
"Dawson, Swanson and Jackson",1,35,0,10,0,0,1
Garcia Ltd,0,6,1,8,1,1,1
"Clark, Houston and Fuller",0,42,1,13,0,0,1
Larson-Daniel,1,5,1,2,1,1,0
Ruiz PLC,0,25,1,18,0,1,1
Mccarthy-Lee,1,13,1,15,0,1,1
"Thomas, Chavez and Jordan",1,25,0,18,0,1,1
Simmons Ltd,1,31,1,9,1,1,0
"Holland, Bond and Becker",1,14,0,13,1,1,0
Wright and Sons,1,10,0,6,1,0,1
"Anthony, Gonzalez and Higgins",0,0,1,16,1,1,1
Andrade and Sons,0,14,0,19,0,1,1
Brown-Mitchell,1,45,1,8,0,1,0
"Williams, Bryant and Fuller",1,47,1,3,0,1,0
"Allen, Moore and Lamb",1,33,0,5,1,1,1
Pierce-Salazar,1,19,1,2,1,1,0
Chung-Holt,0,43,1,14,1,0,1
Weber Group,1,7,1,20,0,1,1
Johnson-Garcia,1,48,1,18,1,0,0
Singh-Cruz,1,26,1,19,0,0,1
Rodriguez-Fisher,1,20,1,11,1,1,0
Hatfield-White,1,38,1,6,1,0,0
"Duncan, Johnson and Nelson",0,13,1,12,1,1,1
"Ray, Waters and Diaz",1,36,0,15,1,0,1
"Johnson, Price and Johnson",1,43,0,8,0,1,1
Barnes-Jones,1,11,0,20,1,0,1
"Ware, Nolan and Wong",0,37,0,20,0,0,1
Callahan-Yates,1,24,0,20,1,1,0
"Flynn, Hernandez and Collins",1,26,1,1,0,1,0
Berger PLC,0,36,1,6,1,0,0
Randolph and Sons,1,28,0,15,1,0,1
Hoffman LLC,1,31,0,15,1,0,0
Mason Inc,1,20,1,13,1,1,0
Dunlap PLC,1,18,0,15,0,1,0
Abbott-Brown,1,39,0,5,1,0,1
Figueroa Group,1,36,1,15,1,1,1
Jackson-Soto,0,33,0,18,0,0,1
Foster Inc,1,5,1,17,0,1,0
"Ward, Hoffman and Berry",1,24,1,17,0,0,0
Horne and Sons,1,12,1,19,1,1,0
Clarke and Sons,0,17,0,6,1,1,1
Peters-Gould,1,25,1,2,0,0,1
Miller-House,1,2,0,5,0,0,1
Allen-Mcdonald,1,13,1,6,1,1,0
Moore PLC,0,35,1,4,0,0,1
"Campbell, Oconnor and Allen",1,3,1,6,1,1,0
Riddle Ltd,1,22,0,11,0,1,1
"Peterson, Marks and Hill",0,41,0,7,1,1,1
Nelson Inc,1,3,1,9,0,1,0
Cunningham-Wilson,1,28,0,18,0,1,0
Sullivan-Brooks,0,13,0,15,1,1,1
Moon PLC,0,9,1,18,0,1,0
"Kim, Powell and Williams",0,15,0,8,0,1,1
"Schmidt, Clarke and Cruz",0,35,1,7,0,1,1
"Cummings, Meyer and Hayden",0,24,1,16,1,0,1
"Hanson, Martinez and Glover",1,12,1,7,1,0,0
Russo-Spence,0,8,1,20,1,0,1
Rodriguez-Jones,0,47,0,11,1,0,1
Armstrong-Morton,1,2,1,5,1,1,0
"Hughes, Jones and Wilson",1,35,1,12,1,1,0
"Davis, Jordan and Campbell",1,5,1,20,1,0,0
Crawford-Warren,1,28,1,11,1,0,0
Foster-Patton,0,32,1,1,1,1,1
Price and Sons,1,49,1,18,0,1,1
Franklin-Jimenez,1,19,1,10,0,0,1
"Baker, Wood and Jennings",0,14,0,3,0,0,1
Davis-Adams,0,1,1,10,0,1,1
"Warner, West and Mcneil",0,29,1,11,0,1,1
Jones Ltd,1,37,0,5,1,0,1
Anderson-Gonzalez,0,5,1,1,1,1,1
"Bennett, Allen and Vazquez",0,48,0,10,1,1,1
"Stafford, Berg and Velez",1,26,0,18,1,0,1
"Morgan, Walker and Cohen",1,10,1,19,1,1,0
"Middleton, Williams and Smith",1,3,1,14,1,0,0
Maldonado-Garcia,0,10,0,4,1,0,1
Jones-Moore,1,20,0,6,1,1,0
Chavez LLC,1,48,0,11,0,1,1
"Weaver, Mckenzie and Stokes",0,30,1,16,1,1,1
Perez-Smith,0,18,1,20,1,0,0
Mason Inc,1,12,1,11,1,0,0
"Elliott, Reed and Anderson",1,25,0,13,0,1,1
Smith-Wagner,0,38,1,0,0,1,1
Ramirez Ltd,0,23,0,9,1,1,1
Logan-Hawkins,1,33,0,9,0,1,1
Howell-Flores,1,2,0,14,1,0,1
Ford and Sons,0,36,1,14,1,1,0
"Carpenter, Medina and Peterson",0,33,1,4,0,0,1
Webb Group,1,49,0,17,1,0,0
Patel-Clark,1,15,0,14,1,1,0
Petersen PLC,1,39,1,1,1,1,0
Johnson PLC,1,37,0,2,0,1,1
Massey-Richards,0,12,0,6,1,1,1
Tran-Gonzalez,0,44,0,8,0,0,1
Johnson Inc,1,28,1,11,1,0,1
"Shaw, Carter and Brown",1,11,0,2,0,1,1
Perez-Smith,0,18,1,20,1,0,0
Watson Group,0,35,1,7,1,0,0
Faulkner Ltd,0,36,1,9,1,0,1
Hernandez-Henry,1,45,1,2,1,1,0
Fischer-Bradley,1,24,0,11,0,0,1
Golden Group,1,21,0,10,1,1,1
Mcbride-Bray,1,34,0,9,0,0,1
"Wright, Miller and Thomas",1,19,1,7,0,1,1
"Salinas, Davis and Ware",1,25,1,18,0,0,0
King-Perry,1,18,1,1,0,0,1
Hill-Castillo,0,42,0,13,0,0,1
Massey-Powell,1,47,1,17,0,1,1
Lester Inc,1,47,0,2,1,1,0
Zamora-Hernandez,1,26,1,19,0,1,0
"Norman, Stephenson and Obrien",0,11,0,20,0,0,1
Boyd Ltd,1,29,0,4,1,1,1
Simmons Ltd,1,31,1,9,1,1,0
Cummings-Gonzales,0,29,1,3,1,1,0
"Lynch, Smith and Maddox",0,30,1,10,0,1,0
Harper-Stewart,0,22,1,2,1,0,0
"Thomas, Stone and Glass",1,12,1,11,1,1,0
"Thompson, Barron and Christian",0,42,1,1,0,0,1
"Miller, Best and Ruiz",0,46,0,0,1,1,1
Collins LLC,1,24,1,10,0,1,0
Allen-Russell,0,25,0,6,1,1,0
Potter-Mckinney,1,7,0,11,1,1,1
Morgan and Sons,1,13,1,10,1,0,0
Saunders-Johnson,0,32,0,15,1,0,1
"Leon, Turner and Fischer",1,8,1,18,0,1,0
Stone-Davis,1,13,1,17,0,1,0
Daniels-Spencer,0,33,1,12,1,1,0
Hatfield-White,1,38,1,6,1,0,0
Holmes-Burton,1,28,1,6,1,1,1
"Becker, Reid and Perry",0,16,0,4,1,1,1
"Kidd, Moyer and Rogers",1,36,1,0,1,0,0
"Page, Moore and Jordan",0,50,0,14,0,0,1
"Keller, Sullivan and Black",1,26,0,5,1,1,0
"Roberson, Ward and Benitez",0,27,1,6,1,0,1
"Summers, Barber and Porter",1,45,1,5,1,1,0
"Salinas, Davis and Ware",1,25,1,18,0,0,0
Sanchez Group,0,2,0,9,1,1,1
Hatfield-White,1,38,1,6,1,0,0
Anderson-Reed,0,34,1,5,0,0,0
Gonzalez Inc,1,10,1,20,0,1,1
Irwin-Gibbs,1,37,0,8,0,1,0
Francis-Wilson,1,0,1,1,1,1,0
White-Valdez,1,38,1,5,1,0,1
Stone-Davis,1,13,1,17,0,1,0
Garcia Ltd,0,2,1,14,1,1,1
Suarez-Taylor,0,12,1,10,1,0,1
Montgomery Group,0,44,0,11,0,0,1
Knight-Thompson,1,42,0,8,0,1,1
Preston and Sons,0,6,1,8,1,0,0
Harmon-Morrow,0,42,1,14,0,0,1
Macias Group,0,35,1,20,1,0,1
Conley-Allen,1,16,0,11,0,0,1
Graham-Padilla,1,1,1,0,0,1,0
Clark-Mcdowell,0,37,0,7,0,0,1
"Barajas, Anthony and Montgomery",1,48,0,2,1,0,1
Morton Group,0,43,1,12,0,1,1
Henderson-Carlson,1,49,1,9,0,1,1
